freq	V1	V2	sweep at:	02/02/2022	13:23:01
5.8900000E+3	-1.2721900E-6	7.9349000E-7
5.8906600E+3	-1.2777800E-6	7.9535300E-7
5.8913200E+3	-1.2628800E-6	7.8976500E-7
5.8919800E+3	-1.2498400E-6	7.9162800E-7
5.8926400E+3	-1.2591600E-6	7.9162800E-7
5.8933000E+3	-1.2647400E-6	7.8790300E-7
5.8939600E+3	-1.2684700E-6	8.0652900E-7
5.8946200E+3	-1.2535700E-6	7.9907800E-7
5.8952800E+3	-1.2219000E-6	7.8604000E-7
5.8959400E+3	-1.2423900E-6	7.8231500E-7
5.8966000E+3	-1.2517000E-6	7.8604000E-7
5.8972600E+3	-1.2498400E-6	7.9907800E-7
5.8979200E+3	-1.2349400E-6	7.9907800E-7
5.8985800E+3	-1.2423900E-6	7.9907800E-7
5.8992400E+3	-1.2442500E-6	8.0652900E-7
5.8999000E+3	-1.2535700E-6	8.0094100E-7
5.9005600E+3	-1.2461200E-6	7.9721600E-7
5.9012200E+3	-1.2517000E-6	8.0652900E-7
5.9018800E+3	-1.2777800E-6	8.1025400E-7
5.9025400E+3	-1.2796400E-6	8.0466600E-7
5.9032000E+3	-1.2647400E-6	8.0280400E-7
5.9038600E+3	-1.2461200E-6	8.0466600E-7
5.9045200E+3	-1.2423900E-6	7.9721600E-7
5.9051800E+3	-1.2666100E-6	8.0094100E-7
5.9058400E+3	-1.2721900E-6	8.2143000E-7
5.9065000E+3	-1.2759200E-6	8.2515500E-7
5.9071600E+3	-1.2591600E-6	8.1956800E-7
5.9078200E+3	-1.2405300E-6	8.1956800E-7
5.9084800E+3	-1.2386700E-6	8.2143000E-7
5.9091400E+3	-1.2461200E-6	8.2329300E-7
5.9098000E+3	-1.2479800E-6	8.4191900E-7
5.9104600E+3	-1.2666100E-6	8.2888100E-7
5.9111200E+3	-1.2647400E-6	8.1956800E-7
5.9117800E+3	-1.2368000E-6	8.3074300E-7
5.9124400E+3	-1.2312200E-6	8.2515500E-7
5.9131000E+3	-1.2349400E-6	8.1211700E-7
5.9137600E+3	-1.2293500E-6	8.0652900E-7
5.9144200E+3	-1.2237700E-6	8.3074300E-7
5.9150800E+3	-1.2200400E-6	8.2143000E-7
5.9157400E+3	-1.2088600E-6	8.1770500E-7
5.9164000E+3	-1.2088600E-6	8.2329300E-7
5.9170600E+3	-1.2070000E-6	8.0466600E-7
5.9177200E+3	-1.2181800E-6	8.0652900E-7
5.9183800E+3	-1.2386700E-6	8.2701800E-7
5.9190400E+3	-1.2405300E-6	8.4191900E-7
5.9197000E+3	-1.2293500E-6	8.4937000E-7
5.9203600E+3	-1.2330800E-6	8.5682000E-7
5.9210200E+3	-1.2293500E-6	8.4564500E-7
5.9216800E+3	-1.2181800E-6	8.4750700E-7
5.9223400E+3	-1.1939600E-6	8.5123200E-7
5.9230000E+3	-1.1734700E-6	8.3819400E-7
5.9236600E+3	-1.1809200E-6	8.3446900E-7
5.9243200E+3	-1.1790600E-6	8.1770500E-7
5.9249800E+3	-1.1753400E-6	8.1584200E-7
5.9256400E+3	-1.1790600E-6	8.2329300E-7
5.9263000E+3	-1.2051400E-6	8.3819400E-7
5.9269600E+3	-1.2144500E-6	8.3819400E-7
5.9276200E+3	-1.1827900E-6	8.1211700E-7
5.9282800E+3	-1.1548500E-6	7.9535300E-7
5.9289400E+3	-1.1306300E-6	8.0652900E-7
5.9296000E+3	-1.1250400E-6	8.0839200E-7
5.9302600E+3	-1.1511200E-6	8.1025400E-7
5.9309200E+3	-1.1529800E-6	8.1025400E-7
5.9315800E+3	-1.1474000E-6	8.2515500E-7
5.9322400E+3	-1.1492600E-6	8.2888100E-7
5.9329000E+3	-1.1306300E-6	8.1770500E-7
5.9335600E+3	-1.1250400E-6	8.1956800E-7
5.9342200E+3	-1.1213200E-6	8.2329300E-7
5.9348800E+3	-1.1306300E-6	7.9162800E-7
5.9355400E+3	-1.1287700E-6	7.8045200E-7
5.9362000E+3	-1.1120100E-6	7.8790300E-7
5.9368600E+3	-1.1157300E-6	7.8976500E-7
5.9375200E+3	-1.1287700E-6	8.1770500E-7
5.9381800E+3	-1.1138700E-6	8.2701800E-7
5.9388400E+3	-1.0952400E-6	8.3074300E-7
5.9395000E+3	-1.1026900E-6	8.1211700E-7
5.9401600E+3	-1.1064200E-6	8.1211700E-7
5.9408200E+3	-1.1213200E-6	8.1584200E-7
5.9414800E+3	-1.1101400E-6	8.0652900E-7
5.9421400E+3	-1.0952400E-6	8.0652900E-7
5.9428000E+3	-1.0728900E-6	8.1025400E-7
5.9434600E+3	-1.0654400E-6	7.9162800E-7
5.9441200E+3	-1.0617200E-6	7.6741300E-7
5.9447800E+3	-1.0468100E-6	7.8417700E-7
5.9454400E+3	-1.0561300E-6	7.9162800E-7
5.9461000E+3	-1.0412300E-6	7.7300100E-7
5.9467600E+3	-1.0337800E-6	7.6555100E-7
5.9474200E+3	-1.0524000E-6	7.7300100E-7
5.9480800E+3	-1.0393600E-6	7.7113900E-7
5.9487400E+3	-1.0319100E-6	7.5996300E-7
5.9494000E+3	-1.0356400E-6	7.5996300E-7
5.9500600E+3	-1.0617200E-6	7.6182600E-7
5.9507200E+3	-1.0766200E-6	7.5251200E-7
5.9513800E+3	-1.0524000E-6	7.5251200E-7
5.9520400E+3	-1.0393600E-6	7.4878700E-7
5.9527000E+3	-1.0468100E-6	7.4319900E-7
5.9533600E+3	-1.0263200E-6	7.4506200E-7
5.9540200E+3	-1.0244600E-6	7.3574800E-7
5.9546800E+3	-1.0561300E-6	7.3574800E-7
